g,date,opponent,outcome,w,l,pts,opts,team_master,team_abbrev,season
6,"Sat, Nov 8, 2008",Minnesota Timberwolves,W,3,3,97,93,POR,POR,2009
7,"Mon, Nov 10, 2008",Orlando Magic,W,4,3,106,99,POR,POR,2009
8,"Wed, Nov 12, 2008",Miami Heat,W,5,3,104,96,POR,POR,2009
9,"Fri, Nov 14, 2008",New Orleans Hornets,L,5,4,82,87,POR,POR,2009
10,"Sat, Nov 15, 2008",Minnesota Timberwolves,W,6,4,88,83,POR,POR,2009
11,"Tue, Nov 18, 2008",Golden State Warriors,L,6,5,106,111,POR,POR,2009
12,"Wed, Nov 19, 2008",Chicago Bulls,W,7,5,116,74,POR,POR,2009
13,"Fri, Nov 21, 2008",Sacramento Kings,W,8,5,117,96,POR,POR,2009
14,"Sat, Nov 22, 2008",Phoenix Suns,L,8,6,92,102,POR,POR,2009
15,"Mon, Nov 24, 2008",Sacramento Kings,W,9,6,91,90,POR,POR,2009
16,"Wed, Nov 26, 2008",Miami Heat,W,10,6,106,68,POR,POR,2009
17,"Fri, Nov 28, 2008",New Orleans Hornets,W,11,6,101,86,POR,POR,2009
18,"Sun, Nov 30, 2008",Detroit Pistons,W,12,6,96,85,POR,POR,2009
19,"Tue, Dec 2, 2008",New York Knicks,W,13,6,104,97,POR,POR,2009
20,"Wed, Dec 3, 2008",Washington Wizards,W,14,6,98,92,POR,POR,2009
21,"Fri, Dec 5, 2008",Boston Celtics,L,14,7,78,93,POR,POR,2009
22,"Sun, Dec 7, 2008",Toronto Raptors,W,15,7,98,97,POR,POR,2009
23,"Tue, Dec 9, 2008",Orlando Magic,L,15,8,108,109,POR,POR,2009
24,"Thu, Dec 11, 2008",Utah Jazz,L,15,9,88,97,POR,POR,2009
25,"Fri, Dec 12, 2008",Los Angeles Clippers,L,15,10,112,120,POR,POR,2009
26,"Tue, Dec 16, 2008",Sacramento Kings,W,16,10,109,77,POR,POR,2009
27,"Thu, Dec 18, 2008",Phoenix Suns,W,17,10,124,119,POR,POR,2009
28,"Mon, Dec 22, 2008",Denver Nuggets,L,17,11,89,97,POR,POR,2009
29,"Tue, Dec 23, 2008",Denver Nuggets,W,18,11,101,92,POR,POR,2009
30,"Thu, Dec 25, 2008",Dallas Mavericks,L,18,12,94,102,POR,POR,2009
31,"Sat, Dec 27, 2008",Toronto Raptors,W,19,12,102,89,POR,POR,2009
32,"Tue, Dec 30, 2008",Boston Celtics,W,20,12,91,86,POR,POR,2009
33,"Fri, Jan 2, 2009",New Orleans Hornets,L,20,13,77,92,POR,POR,2009
34,"Sun, Jan 4, 2009",Los Angeles Lakers,L,20,14,86,100,POR,POR,2009
35,"Wed, Jan 7, 2009",Detroit Pistons,W,21,14,84,83,POR,POR,2009
36,"Sat, Jan 10, 2009",Golden State Warriors,W,22,14,113,100,POR,POR,2009
37,"Mon, Jan 12, 2009",Chicago Bulls,W,23,14,109,95,POR,POR,2009
38,"Wed, Jan 14, 2009",Philadelphia 76ers,L,23,15,79,100,POR,POR,2009
39,"Thu, Jan 15, 2009",New Jersey Nets,W,24,15,105,99,POR,POR,2009
40,"Sat, Jan 17, 2009",Charlotte Bobcats,L,24,16,97,102,POR,POR,2009
41,"Mon, Jan 19, 2009",Milwaukee Bucks,W,25,16,102,85,POR,POR,2009
42,"Wed, Jan 21, 2009",Cleveland Cavaliers,L,25,17,98,104,POR,POR,2009
43,"Sat, Jan 24, 2009",Washington Wizards,W,26,17,100,87,POR,POR,2009
44,"Mon, Jan 26, 2009",Los Angeles Clippers,W,27,17,113,88,POR,POR,2009
45,"Wed, Jan 28, 2009",Charlotte Bobcats,W,28,17,88,74,POR,POR,2009
46,"Sat, Jan 31, 2009",Utah Jazz,W,29,17,122,108,POR,POR,2009
47,"Mon, Feb 2, 2009",New Orleans Hornets,W,30,17,97,89,POR,POR,2009
48,"Wed, Feb 4, 2009",Dallas Mavericks,L,30,18,99,104,POR,POR,2009
49,"Fri, Feb 6, 2009",Oklahoma City Thunder,L,30,19,93,102,POR,POR,2009
50,"Sun, Feb 8, 2009",New York Knicks,W,31,19,109,108,POR,POR,2009
51,"Wed, Feb 11, 2009",Oklahoma City Thunder,W,32,19,106,92,POR,POR,2009
52,"Thu, Feb 12, 2009",Golden State Warriors,L,32,20,98,105,POR,POR,2009
53,"Wed, Feb 18, 2009",Memphis Grizzlies,W,33,20,94,90,POR,POR,2009
54,"Fri, Feb 20, 2009",Atlanta Hawks,W,34,20,108,98,POR,POR,2009
55,"Sun, Feb 22, 2009",Los Angeles Clippers,W,35,20,116,87,POR,POR,2009
56,"Tue, Feb 24, 2009",Houston Rockets,L,35,21,94,98,POR,POR,2009
57,"Wed, Feb 25, 2009",San Antonio Spurs,L,35,22,84,99,POR,POR,2009
58,"Fri, Feb 27, 2009",Minnesota Timberwolves,W,36,22,102,82,POR,POR,2009
59,"Sun, Mar 1, 2009",San Antonio Spurs,W,37,22,102,84,POR,POR,2009
60,"Wed, Mar 4, 2009",Indiana Pacers,W,38,22,107,105,POR,POR,2009
61,"Thu, Mar 5, 2009",Denver Nuggets,L,38,23,90,106,POR,POR,2009
62,"Sat, Mar 7, 2009",Minnesota Timberwolves,W,39,23,95,93,POR,POR,2009
63,"Mon, Mar 9, 2009",Los Angeles Lakers,W,40,23,111,94,POR,POR,2009
64,"Wed, Mar 11, 2009",Dallas Mavericks,L,40,24,89,93,POR,POR,2009
65,"Fri, Mar 13, 2009",New Jersey Nets,W,41,24,109,100,POR,POR,2009
66,"Sun, Mar 15, 2009",Atlanta Hawks,L,41,25,80,98,POR,POR,2009
67,"Mon, Mar 16, 2009",Memphis Grizzlies,W,42,25,103,92,POR,POR,2009
68,"Wed, Mar 18, 2009",Indiana Pacers,W,43,25,95,85,POR,POR,2009
69,"Thu, Mar 19, 2009",Cleveland Cavaliers,L,43,26,92,97,POR,POR,2009
70,"Sat, Mar 21, 2009",Milwaukee Bucks,W,44,26,96,84,POR,POR,2009
71,"Mon, Mar 23, 2009",Philadelphia 76ers,L,44,27,108,114,POR,POR,2009
72,"Thu, Mar 26, 2009",Phoenix Suns,W,45,27,129,109,POR,POR,2009
73,"Sat, Mar 28, 2009",Memphis Grizzlies,W,46,27,86,66,POR,POR,2009
74,"Tue, Mar 31, 2009",Utah Jazz,W,47,27,125,104,POR,POR,2009
75,"Fri, Apr 3, 2009",Oklahoma City Thunder,W,48,27,107,72,POR,POR,2009
76,"Sun, Apr 5, 2009",Houston Rockets,L,48,28,88,102,POR,POR,2009
77,"Tue, Apr 7, 2009",Memphis Grizzlies,W,49,28,96,93,POR,POR,2009
78,"Wed, Apr 8, 2009",San Antonio Spurs,W,50,28,95,83,POR,POR,2009
79,"Fri, Apr 10, 2009",Los Angeles Lakers,W,51,28,106,98,POR,POR,2009
80,"Sat, Apr 11, 2009",Los Angeles Clippers,W,52,28,87,72,POR,POR,2009
81,"Mon, Apr 13, 2009",Oklahoma City Thunder,W,53,28,113,83,POR,POR,2009
82,"Wed, Apr 15, 2009",Denver Nuggets,W,54,28,104,76,POR,POR,2009
1,"Tue, Oct 27, 2009",Houston Rockets,W,1,0,96,87,POR,POR,2010
2,"Thu, Oct 29, 2009",Denver Nuggets,L,1,1,94,97,POR,POR,2010
3,"Sat, Oct 31, 2009",Houston Rockets,L,1,2,107,111,POR,POR,2010
4,"Sun, Nov 1, 2009",Oklahoma City Thunder,W,2,2,83,74,POR,POR,2010
5,"Tue, Nov 3, 2009",Atlanta Hawks,L,2,3,91,97,POR,POR,2010
6,"Fri, Nov 6, 2009",San Antonio Spurs,W,3,3,96,84,POR,POR,2010
7,"Sun, Nov 8, 2009",Minnesota Timberwolves,W,4,3,116,93,POR,POR,2010
8,"Tue, Nov 10, 2009",Memphis Grizzlies,W,5,3,93,79,POR,POR,2010
9,"Wed, Nov 11, 2009",Minnesota Timberwolves,W,6,3,107,84,POR,POR,2010
10,"Fri, Nov 13, 2009",New Orleans Hornets,W,7,3,86,78,POR,POR,2010
11,"Sat, Nov 14, 2009",Charlotte Bobcats,W,8,3,80,74,POR,POR,2010
12,"Mon, Nov 16, 2009",Atlanta Hawks,L,8,4,95,99,POR,POR,2010
13,"Wed, Nov 18, 2009",Detroit Pistons,W,9,4,87,81,POR,POR,2010
14,"Fri, Nov 20, 2009",Golden State Warriors,L,9,5,94,108,POR,POR,2010
15,"Sat, Nov 21, 2009",Minnesota Timberwolves,W,10,5,106,78,POR,POR,2010
16,"Mon, Nov 23, 2009",Chicago Bulls,W,11,5,122,98,POR,POR,2010
17,"Wed, Nov 25, 2009",New Jersey Nets,W,12,5,93,83,POR,POR,2010
18,"Fri, Nov 27, 2009",Memphis Grizzlies,L,12,6,96,106,POR,POR,2010
19,"Sat, Nov 28, 2009",Utah Jazz,L,12,7,92,108,POR,POR,2010
20,"Tue, Dec 1, 2009",Miami Heat,L,12,8,100,107,POR,POR,2010
21,"Sat, Dec 5, 2009",Houston Rockets,W,13,8,90,89,POR,POR,2010
22,"Mon, Dec 7, 2009",New York Knicks,L,13,9,84,93,POR,POR,2010
23,"Wed, Dec 9, 2009",Indiana Pacers,W,14,9,102,91,POR,POR,2010
24,"Fri, Dec 11, 2009",Cleveland Cavaliers,L,14,10,99,104,POR,POR,2010
25,"Sat, Dec 12, 2009",Milwaukee Bucks,L,14,11,101,108,POR,POR,2010
26,"Tue, Dec 15, 2009",Sacramento Kings,W,15,11,95,88,POR,POR,2010
27,"Thu, Dec 17, 2009",Phoenix Suns,W,16,11,105,102,POR,POR,2010
28,"Sat, Dec 19, 2009",Orlando Magic,L,16,12,83,92,POR,POR,2010
29,"Sun, Dec 20, 2009",Miami Heat,W,17,12,102,95,POR,POR,2010
30,"Tue, Dec 22, 2009",Dallas Mavericks,W,18,12,85,81,POR,POR,2010
31,"Wed, Dec 23, 2009",San Antonio Spurs,W,19,12,98,94,POR,POR,2010
32,"Fri, Dec 25, 2009",Denver Nuggets,W,20,12,107,96,POR,POR,2010
33,"Mon, Dec 28, 2009",Philadelphia 76ers,L,20,13,93,104,POR,POR,2010
34,"Wed, Dec 30, 2009",Los Angeles Clippers,W,21,13,103,99,POR,POR,2010
35,"Sat, Jan 2, 2010",Golden State Warriors,W,22,13,105,89,POR,POR,2010
36,"Mon, Jan 4, 2010",Los Angeles Clippers,L,22,14,95,105,POR,POR,2010
37,"Tue, Jan 5, 2010",Memphis Grizzlies,L,22,15,105,109,POR,POR,2010
38,"Fri, Jan 8, 2010",Los Angeles Lakers,W,23,15,107,98,POR,POR,2010
39,"Sun, Jan 10, 2010",Cleveland Cavaliers,L,23,16,94,106,POR,POR,2010
40,"Wed, Jan 13, 2010",Milwaukee Bucks,W,24,16,120,108,POR,POR,2010
41,"Fri, Jan 15, 2010",Orlando Magic,W,25,16,102,87,POR,POR,2010
42,"Mon, Jan 18, 2010",Washington Wizards,L,25,17,92,97,POR,POR,2010
43,"Wed, Jan 20, 2010",Philadelphia 76ers,W,26,17,98,90,POR,POR,2010
44,"Fri, Jan 22, 2010",Boston Celtics,L,26,18,95,98,POR,POR,2010
45,"Sat, Jan 23, 2010",Detroit Pistons,W,27,18,97,93,POR,POR,2010
46,"Mon, Jan 25, 2010",New Orleans Hornets,L,27,19,97,98,POR,POR,2010
47,"Wed, Jan 27, 2010",Utah Jazz,L,27,20,95,106,POR,POR,2010
48,"Fri, Jan 29, 2010",Houston Rockets,L,27,21,100,104,POR,POR,2010
49,"Sat, Jan 30, 2010",Dallas Mavericks,W,28,21,114,112,POR,POR,2010
50,"Mon, Feb 1, 2010",Charlotte Bobcats,W,29,21,98,79,POR,POR,2010
51,"Wed, Feb 3, 2010",Utah Jazz,L,29,22,105,118,POR,POR,2010
52,"Thu, Feb 4, 2010",San Antonio Spurs,W,30,22,96,93,POR,POR,2010
53,"Sat, Feb 6, 2010",Los Angeles Lakers,L,30,23,82,99,POR,POR,2010
54,"Tue, Feb 9, 2010",Oklahoma City Thunder,L,30,24,77,89,POR,POR,2010
55,"Wed, Feb 10, 2010",Phoenix Suns,W,31,24,108,101,POR,POR,2010
56,"Tue, Feb 16, 2010",Los Angeles Clippers,W,32,24,109,87,POR,POR,2010
57,"Fri, Feb 19, 2010",Boston Celtics,L,32,25,76,96,POR,POR,2010
58,"Sun, Feb 21, 2010",Utah Jazz,L,32,26,89,93,POR,POR,2010
59,"Tue, Feb 23, 2010",New Jersey Nets,W,33,26,102,93,POR,POR,2010
60,"Wed, Feb 24, 2010",Toronto Raptors,W,34,26,101,87,POR,POR,2010
61,"Fri, Feb 26, 2010",Chicago Bulls,L,34,27,111,115,POR,POR,2010
62,"Sat, Feb 27, 2010",Minnesota Timberwolves,W,35,27,110,91,POR,POR,2010
63,"Mon, Mar 1, 2010",Memphis Grizzlies,W,36,27,103,93,POR,POR,2010
64,"Wed, Mar 3, 2010",Indiana Pacers,W,37,27,102,79,POR,POR,2010
65,"Sun, Mar 7, 2010",Denver Nuggets,L,37,28,106,118,POR,POR,2010
66,"Tue, Mar 9, 2010",Sacramento Kings,W,38,28,88,81,POR,POR,2010
67,"Thu, Mar 11, 2010",Golden State Warriors,W,39,28,110,105,POR,POR,2010
68,"Fri, Mar 12, 2010",Sacramento Kings,W,40,28,110,94,POR,POR,2010
69,"Sun, Mar 14, 2010",Toronto Raptors,W,41,28,109,98,POR,POR,2010
70,"Fri, Mar 19, 2010",Washington Wizards,W,42,28,76,74,POR,POR,2010
71,"Sun, Mar 21, 2010",Phoenix Suns,L,42,29,87,93,POR,POR,2010
72,"Thu, Mar 25, 2010",Dallas Mavericks,W,43,29,101,89,POR,POR,2010
73,"Sat, Mar 27, 2010",New Orleans Hornets,W,44,29,112,101,POR,POR,2010
74,"Sun, Mar 28, 2010",Oklahoma City Thunder,W,45,29,92,87,POR,POR,2010
75,"Wed, Mar 31, 2010",New York Knicks,W,46,29,118,90,POR,POR,2010
76,"Thu, Apr 1, 2010",Denver Nuggets,L,46,30,92,109,POR,POR,2010
77,"Sat, Apr 3, 2010",Sacramento Kings,W,47,30,98,87,POR,POR,2010
78,"Wed, Apr 7, 2010",Los Angeles Clippers,W,48,30,93,85,POR,POR,2010
79,"Fri, Apr 9, 2010",Dallas Mavericks,L,48,31,77,83,POR,POR,2010
80,"Sun, Apr 11, 2010",Los Angeles Lakers,W,49,31,91,88,POR,POR,2010
81,"Mon, Apr 12, 2010",Oklahoma City Thunder,W,50,31,103,95,POR,POR,2010
82,"Wed, Apr 14, 2010",Golden State Warriors,L,50,32,116,122,POR,POR,2010
1,"Tue, Oct 26, 2010",Phoenix Suns,W,1,0,106,92,POR,POR,2011
2,"Wed, Oct 27, 2010",Los Angeles Clippers,W,2,0,98,88,POR,POR,2011
3,"Sat, Oct 30, 2010",New York Knicks,W,3,0,100,95,POR,POR,2011
4,"Mon, Nov 1, 2010",Chicago Bulls,L,3,1,98,110,POR,POR,2011
5,"Tue, Nov 2, 2010",Milwaukee Bucks,W,4,1,90,76,POR,POR,2011
6,"Thu, Nov 4, 2010",Oklahoma City Thunder,L,4,2,106,107,POR,POR,2011
7,"Sat, Nov 6, 2010",Toronto Raptors,W,5,2,97,84,POR,POR,2011
8,"Sun, Nov 7, 2010",Los Angeles Lakers,L,5,3,96,121,POR,POR,2011
9,"Tue, Nov 9, 2010",Detroit Pistons,W,6,3,100,78,POR,POR,2011
10,"Fri, Nov 12, 2010",Oklahoma City Thunder,L,6,4,108,110,POR,POR,2011
11,"Sat, Nov 13, 2010",New Orleans Hornets,L,6,5,87,107,POR,POR,2011
12,"Tue, Nov 16, 2010",Memphis Grizzlies,W,7,5,100,99,POR,POR,2011
13,"Thu, Nov 18, 2010",Denver Nuggets,W,8,5,86,83,POR,POR,2011
14,"Sat, Nov 20, 2010",Utah Jazz,L,8,6,94,103,POR,POR,2011
15,"Fri, Nov 26, 2010",New Orleans Hornets,L,8,7,78,97,POR,POR,2011
16,"Sun, Nov 28, 2010",New Jersey Nets,L,8,8,96,98,POR,POR,2011
17,"Tue, Nov 30, 2010",Philadelphia 76ers,L,8,9,79,88,POR,POR,2011
18,"Wed, Dec 1, 2010",Boston Celtics,L,8,10,95,99,POR,POR,2011
19,"Fri, Dec 3, 2010",Washington Wizards,L,8,11,79,83,POR,POR,2011
20,"Sun, Dec 5, 2010",Los Angeles Clippers,W,9,11,100,91,POR,POR,2011
21,"Tue, Dec 7, 2010",Phoenix Suns,W,10,11,106,99,POR,POR,2011
22,"Thu, Dec 9, 2010",Orlando Magic,W,11,11,97,83,POR,POR,2011
23,"Fri, Dec 10, 2010",Phoenix Suns,W,12,11,101,94,POR,POR,2011
24,"Sun, Dec 12, 2010",San Antonio Spurs,L,12,12,78,95,POR,POR,2011
25,"Mon, Dec 13, 2010",Memphis Grizzlies,L,12,13,73,86,POR,POR,2011
26,"Wed, Dec 15, 2010",Dallas Mavericks,L,12,14,98,103,POR,POR,2011
27,"Fri, Dec 17, 2010",Minnesota Timberwolves,W,13,14,107,102,POR,POR,2011
28,"Sat, Dec 18, 2010",Golden State Warriors,W,14,14,96,95,POR,POR,2011
29,"Mon, Dec 20, 2010",Milwaukee Bucks,W,15,14,106,80,POR,POR,2011
30,"Sat, Dec 25, 2010",Golden State Warriors,L,15,15,102,109,POR,POR,2011
31,"Mon, Dec 27, 2010",Utah Jazz,W,16,15,96,91,POR,POR,2011
32,"Tue, Dec 28, 2010",Denver Nuggets,L,16,16,77,95,POR,POR,2011
33,"Thu, Dec 30, 2010",Utah Jazz,W,17,16,100,89,POR,POR,2011
34,"Sun, Jan 2, 2011",Houston Rockets,W,18,16,100,85,POR,POR,2011
35,"Tue, Jan 4, 2011",Dallas Mavericks,L,18,17,81,84,POR,POR,2011
36,"Wed, Jan 5, 2011",Houston Rockets,W,19,17,103,100,POR,POR,2011
37,"Fri, Jan 7, 2011",Minnesota Timberwolves,W,20,17,108,98,POR,POR,2011
38,"Sun, Jan 9, 2011",Miami Heat,L,20,18,100,107,POR,POR,2011
39,"Tue, Jan 11, 2011",New York Knicks,L,20,19,86,100,POR,POR,2011
40,"Fri, Jan 14, 2011",Phoenix Suns,L,20,20,111,115,POR,POR,2011
41,"Sat, Jan 15, 2011",New Jersey Nets,W,21,20,96,89,POR,POR,2011
42,"Mon, Jan 17, 2011",Minnesota Timberwolves,W,22,20,113,102,POR,POR,2011
43,"Wed, Jan 19, 2011",Sacramento Kings,W,23,20,94,90,POR,POR,2011
44,"Thu, Jan 20, 2011",Los Angeles Clippers,W,24,20,108,93,POR,POR,2011
45,"Sat, Jan 22, 2011",Indiana Pacers,W,25,20,97,92,POR,POR,2011
46,"Mon, Jan 24, 2011",Sacramento Kings,L,25,21,81,96,POR,POR,2011
47,"Thu, Jan 27, 2011",Boston Celtics,L,25,22,78,88,POR,POR,2011
48,"Tue, Feb 1, 2011",San Antonio Spurs,W,26,22,99,86,POR,POR,2011
49,"Wed, Feb 2, 2011",Denver Nuggets,L,26,23,90,109,POR,POR,2011
50,"Fri, Feb 4, 2011",Indiana Pacers,L,26,24,87,100,POR,POR,2011
51,"Sat, Feb 5, 2011",Cleveland Cavaliers,W,27,24,111,105,POR,POR,2011
52,"Mon, Feb 7, 2011",Chicago Bulls,W,28,24,109,103,POR,POR,2011
53,"Fri, Feb 11, 2011",Toronto Raptors,W,29,24,102,96,POR,POR,2011
54,"Sun, Feb 13, 2011",Detroit Pistons,W,30,24,105,100,POR,POR,2011
55,"Mon, Feb 14, 2011",Minnesota Timberwolves,W,31,24,95,81,POR,POR,2011
56,"Wed, Feb 16, 2011",New Orleans Hornets,W,32,24,103,96,POR,POR,2011
57,"Wed, Feb 23, 2011",Los Angeles Lakers,L,32,25,101,106,POR,POR,2011
58,"Fri, Feb 25, 2011",Denver Nuggets,W,33,25,107,106,POR,POR,2011
59,"Sun, Feb 27, 2011",Atlanta Hawks,L,33,26,83,90,POR,POR,2011
60,"Tue, Mar 1, 2011",Houston Rockets,L,33,27,87,103,POR,POR,2011
61,"Wed, Mar 2, 2011",Sacramento Kings,W,34,27,107,102,POR,POR,2011
62,"Sat, Mar 5, 2011",Charlotte Bobcats,W,35,27,93,69,POR,POR,2011
63,"Mon, Mar 7, 2011",Orlando Magic,W,36,27,89,85,POR,POR,2011
64,"Tue, Mar 8, 2011",Miami Heat,W,37,27,105,96,POR,POR,2011
65,"Fri, Mar 11, 2011",Charlotte Bobcats,L,37,28,92,97,POR,POR,2011
66,"Sat, Mar 12, 2011",Atlanta Hawks,L,37,29,82,91,POR,POR,2011
67,"Tue, Mar 15, 2011",Dallas Mavericks,W,38,29,104,101,POR,POR,2011
68,"Thu, Mar 17, 2011",Cleveland Cavaliers,W,39,29,111,70,POR,POR,2011
69,"Sat, Mar 19, 2011",Philadelphia 76ers,W,40,29,110,101,POR,POR,2011
70,"Sun, Mar 20, 2011",Los Angeles Lakers,L,40,30,80,84,POR,POR,2011
71,"Tue, Mar 22, 2011",Washington Wizards,W,41,30,111,76,POR,POR,2011
72,"Fri, Mar 25, 2011",San Antonio Spurs,W,42,30,98,96,POR,POR,2011
73,"Sun, Mar 27, 2011",Oklahoma City Thunder,L,42,31,90,99,POR,POR,2011
74,"Mon, Mar 28, 2011",San Antonio Spurs,W,43,31,100,92,POR,POR,2011
75,"Wed, Mar 30, 2011",New Orleans Hornets,L,43,32,91,95,POR,POR,2011
76,"Fri, Apr 1, 2011",Oklahoma City Thunder,W,44,32,98,91,POR,POR,2011
77,"Sun, Apr 3, 2011",Dallas Mavericks,W,45,32,104,96,POR,POR,2011
78,"Tue, Apr 5, 2011",Golden State Warriors,L,45,33,87,108,POR,POR,2011
79,"Thu, Apr 7, 2011",Utah Jazz,W,46,33,98,87,POR,POR,2011
80,"Fri, Apr 8, 2011",Los Angeles Lakers,W,47,33,93,86,POR,POR,2011
81,"Tue, Apr 12, 2011",Memphis Grizzlies,W,48,33,102,89,POR,POR,2011
82,"Wed, Apr 13, 2011",Golden State Warriors,L,48,34,86,110,POR,POR,2011
1,"Mon, Dec 26, 2011",Philadelphia 76ers,W,1,0,107,103,POR,POR,2012
2,"Tue, Dec 27, 2011",Sacramento Kings,W,2,0,101,79,POR,POR,2012
3,"Thu, Dec 29, 2011",Denver Nuggets,W,3,0,111,102,POR,POR,2012
4,"Sun, Jan 1, 2012",Los Angeles Clippers,L,3,1,88,93,POR,POR,2012
5,"Tue, Jan 3, 2012",Oklahoma City Thunder,W,4,1,103,93,POR,POR,2012
6,"Thu, Jan 5, 2012",Los Angeles Lakers,W,5,1,107,96,POR,POR,2012
7,"Fri, Jan 6, 2012",Phoenix Suns,L,5,2,77,102,POR,POR,2012
8,"Sun, Jan 8, 2012",Cleveland Cavaliers,W,6,2,98,78,POR,POR,2012
9,"Tue, Jan 10, 2012",Los Angeles Clippers,W,7,2,105,97,POR,POR,2012
10,"Wed, Jan 11, 2012",Orlando Magic,L,7,3,104,107,POR,POR,2012
11,"Fri, Jan 13, 2012",San Antonio Spurs,L,7,4,83,99,POR,POR,2012
12,"Sat, Jan 14, 2012",Houston Rockets,L,7,5,105,107,POR,POR,2012
13,"Mon, Jan 16, 2012",New Orleans Hornets,W,8,5,84,77,POR,POR,2012
14,"Wed, Jan 18, 2012",Atlanta Hawks,L,8,6,89,92,POR,POR,2012
15,"Fri, Jan 20, 2012",Toronto Raptors,W,9,6,94,84,POR,POR,2012
16,"Sat, Jan 21, 2012",Detroit Pistons,L,9,7,91,94,POR,POR,2012
17,"Mon, Jan 23, 2012",Sacramento Kings,W,10,7,101,89,POR,POR,2012
18,"Tue, Jan 24, 2012",Memphis Grizzlies,W,11,7,97,84,POR,POR,2012
19,"Wed, Jan 25, 2012",Golden State Warriors,L,11,8,93,101,POR,POR,2012
20,"Fri, Jan 27, 2012",Phoenix Suns,W,12,8,109,71,POR,POR,2012
21,"Mon, Jan 30, 2012",Utah Jazz,L,12,9,89,93,POR,POR,2012
22,"Wed, Feb 1, 2012",Charlotte Bobcats,W,13,9,112,68,POR,POR,2012
23,"Thu, Feb 2, 2012",Sacramento Kings,L,13,10,92,95,POR,POR,2012
24,"Sat, Feb 4, 2012",Denver Nuggets,W,14,10,117,97,POR,POR,2012
25,"Mon, Feb 6, 2012",Oklahoma City Thunder,L,14,11,107,111,POR,POR,2012
26,"Wed, Feb 8, 2012",Houston Rockets,L,14,12,96,103,POR,POR,2012
27,"Fri, Feb 10, 2012",New Orleans Hornets,W,15,12,94,86,POR,POR,2012
28,"Sat, Feb 11, 2012",Dallas Mavericks,L,15,13,94,97,POR,POR,2012
29,"Tue, Feb 14, 2012",Washington Wizards,L,15,14,109,124,POR,POR,2012
30,"Wed, Feb 15, 2012",Golden State Warriors,W,16,14,93,91,POR,POR,2012
31,"Thu, Feb 16, 2012",Los Angeles Clippers,L,16,15,71,74,POR,POR,2012
32,"Sat, Feb 18, 2012",Atlanta Hawks,W,17,15,97,77,POR,POR,2012
33,"Mon, Feb 20, 2012",Los Angeles Lakers,L,17,16,92,103,POR,POR,2012
34,"Tue, Feb 21, 2012",San Antonio Spurs,W,18,16,137,97,POR,POR,2012
35,"Wed, Feb 29, 2012",Denver Nuggets,L,18,17,95,104,POR,POR,2012
36,"Thu, Mar 1, 2012",Miami Heat,L,18,18,93,107,POR,POR,2012
37,"Sat, Mar 3, 2012",Minnesota Timberwolves,L,18,19,110,122,POR,POR,2012
38,"Mon, Mar 5, 2012",New Orleans Hornets,W,19,19,86,74,POR,POR,2012
39,"Wed, Mar 7, 2012",Minnesota Timberwolves,L,19,20,94,106,POR,POR,2012
40,"Fri, Mar 9, 2012",Boston Celtics,L,19,21,86,104,POR,POR,2012
41,"Sat, Mar 10, 2012",Washington Wizards,W,20,21,110,99,POR,POR,2012
42,"Tue, Mar 13, 2012",Indiana Pacers,L,20,22,75,92,POR,POR,2012
43,"Wed, Mar 14, 2012",New York Knicks,L,20,23,79,121,POR,POR,2012
44,"Fri, Mar 16, 2012",Chicago Bulls,W,21,23,100,89,POR,POR,2012
45,"Sun, Mar 18, 2012",Oklahoma City Thunder,L,21,24,95,111,POR,POR,2012
46,"Tue, Mar 20, 2012",Milwaukee Bucks,L,21,25,87,116,POR,POR,2012
47,"Thu, Mar 22, 2012",Memphis Grizzlies,W,22,25,97,93,POR,POR,2012
48,"Fri, Mar 23, 2012",Los Angeles Lakers,L,22,26,96,103,POR,POR,2012
49,"Sun, Mar 25, 2012",Golden State Warriors,W,23,26,90,87,POR,POR,2012
50,"Tue, Mar 27, 2012",Oklahoma City Thunder,L,23,27,95,109,POR,POR,2012
51,"Thu, Mar 29, 2012",New Orleans Hornets,W,24,27,99,93,POR,POR,2012
52,"Fri, Mar 30, 2012",Los Angeles Clippers,L,24,28,97,98,POR,POR,2012
53,"Sun, Apr 1, 2012",Minnesota Timberwolves,W,25,28,119,106,POR,POR,2012
54,"Mon, Apr 2, 2012",Utah Jazz,L,25,29,97,102,POR,POR,2012
55,"Wed, Apr 4, 2012",New Jersey Nets,W,26,29,101,88,POR,POR,2012
56,"Fri, Apr 6, 2012",Dallas Mavericks,W,27,29,99,97,POR,POR,2012
57,"Sat, Apr 7, 2012",Milwaukee Bucks,L,27,30,94,116,POR,POR,2012
58,"Mon, Apr 9, 2012",Houston Rockets,L,27,31,89,94,POR,POR,2012
59,"Wed, Apr 11, 2012",Golden State Warriors,W,28,31,118,110,POR,POR,2012
60,"Fri, Apr 13, 2012",Dallas Mavericks,L,28,32,94,97,POR,POR,2012
61,"Sun, Apr 15, 2012",Sacramento Kings,L,28,33,103,104,POR,POR,2012
62,"Mon, Apr 16, 2012",Phoenix Suns,L,28,34,107,125,POR,POR,2012
63,"Wed, Apr 18, 2012",Utah Jazz,L,28,35,91,112,POR,POR,2012
64,"Sat, Apr 21, 2012",Memphis Grizzlies,L,28,36,89,93,POR,POR,2012
